,Query Size,OG Times,LUT Times,RMI Times
0,100,0.001756,0.0014656,0.1281786
1,200,0.0037552,0.002641,0.15716999999999998
2,300,0.0060241999999999995,0.004828000000000001,0.17042720000000003
3,400,0.007885,0.005714800000000001,0.1883246
4,500,0.0105518,0.0066197999999999995,0.1999608
5,600,0.0120954,0.0086608,0.22221980000000002
6,700,0.0141646,0.0092558,0.2272164
7,800,0.016564199999999998,0.011425800000000002,0.27145040000000004
8,900,0.019131799999999997,0.0140234,0.31488499999999997
9,1000,0.020852600000000002,0.0145446,0.3032386
10,10000,0.2225946,0.157599,2.5281968
